Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status"
-,-,2240-MT4530RB-ND,MT4530RB,"Transforming Technologies, LlC",2LYR ESD TBL MAT 30""X50' RYL BL,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9026SPLB-ND,JKC9026SPLB,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF 2XL LT BLUE,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9028SPGN-ND,JKC9028SPGN,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF 4XL YLW-GRN,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9025SPTL-ND,JKC9025SPTL,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF XL TEAL,0,0,"Active","0","0","-","*","Active"
-,-,2240-MT3672B-ND,MT3672B,"Transforming Technologies, LlC",2LYR ESD TABLE MAT 36""X72"" BLUE,0,0,"Active","0","0","-","*","Active"
-,-,2240-WBAS44LB-ND,WBAS44LB,"Transforming Technologies, LlC",CONDUCTIVE WASTE LINER 44GAL BLK,0,0,"Active","0","0","-","*","Active"
-,-,2240-BFN801-ND,BFN801,"Transforming Technologies, LlC",BENCHTOP IONIZING BLOWER,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL4506-ND,GL4506,"Transforming Technologies, LlC",2XL ESD NYLON GLOVES UNCOATED,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9021SPBK-ND,JKC9021SPBK,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF XS BLACK,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL2502P-ND,GL2502P,"Transforming Technologies, LlC",SM ESD CUT RES GLOVES PALM CTD,0,0,"Active","0","0","-","*","Active"
-,-,2240-MT2436B-ND,MT2436B,"Transforming Technologies, LlC",2LYR ESD TABLE MAT 24""X36"" BLUE,0,0,"Active","0","0","-","*","Active"
